sample_uid,scene_id,height_category,gt_vehicle_voxels,gt_vehicle_instances
scene_08_30_000056,scene_08,30,7226,25
scene_08_30_000057,scene_08,30,6471,24
scene_08_30_000058,scene_08,30,5574,20
scene_08_30_000059,scene_08,30,5056,18
scene_08_30_000060,scene_08,30,4770,16
scene_08_30_000061,scene_08,30,4566,14
scene_08_30_000062,scene_08,30,3825,12
scene_08_30_000063,scene_08,30,3894,13
scene_08_30_000064,scene_08,30,3317,7
scene_08_30_000065,scene_08,30,922,4
scene_08_30_000068,scene_08,30,1248,2
scene_08_30_000069,scene_08,30,2155,4
scene_08_30_000070,scene_08,30,1828,6
scene_08_30_000071,scene_08,30,2644,3
scene_08_30_000072,scene_08,30,3506,12
scene_08_30_000073,scene_08,30,3765,17
scene_08_30_000074,scene_08,30,4289,20
scene_08_30_000075,scene_08,30,4728,19
scene_08_30_000076,scene_08,30,5383,23
scene_08_30_000077,scene_08,30,5694,23
scene_08_30_000078,scene_08,30,5804,25
scene_08_30_000079,scene_08,30,6491,33
scene_08_30_000080,scene_08,30,7968,29
scene_08_30_000081,scene_08,30,6835,39
scene_08_30_000082,scene_08,30,6111,30
scene_08_30_000083,scene_08,30,4983,24
scene_08_30_000084,scene_08,30,4359,20
scene_08_30_000085,scene_08,30,3701,19
scene_08_30_000086,scene_08,30,3380,17
scene_08_30_000087,scene_08,30,4468,26
scene_08_30_000088,scene_08,30,5235,31
scene_08_30_000089,scene_08,30,5502,27
scene_08_30_000090,scene_08,30,7388,37
scene_08_30_000091,scene_08,30,7175,33
scene_08_30_000092,scene_08,30,5397,27
scene_08_30_000093,scene_08,30,5176,24
scene_08_30_000094,scene_08,30,5054,21
scene_08_30_000095,scene_08,30,4701,20
scene_08_30_000096,scene_08,30,4315,16
scene_08_30_000097,scene_08,30,4775,17
scene_08_30_000098,scene_08,30,3588,10
scene_08_30_000099,scene_08,30,2040,12
scene_08_30_000103,scene_08,30,2000,10
scene_08_30_000104,scene_08,30,1783,13
scene_08_30_000105,scene_08,30,3396,15
scene_08_30_000106,scene_08,30,4014,19
scene_08_30_000107,scene_08,30,4174,20
scene_08_30_000108,scene_08,30,4477,26
scene_08_30_000109,scene_08,30,4892,24
scene_08_30_000110,scene_08,30,5027,24
scene_08_30_000111,scene_08,30,5034,26
scene_08_30_000112,scene_08,30,6577,31
scene_08_30_000113,scene_08,30,6287,40
scene_08_30_000114,scene_08,30,5378,28
scene_08_30_000115,scene_08,30,4230,31
scene_08_30_000116,scene_08,30,3743,21
scene_08_30_000117,scene_08,30,3515,18
scene_08_30_000118,scene_08,30,2940,12
scene_08_30_000119,scene_08,30,2804,11
scene_08_30_000120,scene_08,30,4042,25
scene_08_30_000121,scene_08,30,4047,26
scene_08_30_000122,scene_08,30,5140,25
scene_08_30_000123,scene_08,30,5212,28
scene_08_30_000124,scene_08,30,5419,34
scene_08_30_000125,scene_08,30,5220,29
scene_08_30_000126,scene_08,30,3876,25
scene_08_30_000127,scene_08,30,3896,24
scene_08_30_000128,scene_08,30,3762,24
scene_08_30_000129,scene_08,30,3241,25
scene_08_30_000130,scene_08,30,3119,18
scene_08_30_000131,scene_08,30,2687,13
scene_08_30_000132,scene_08,30,1477,8
scene_08_30_000135,scene_08,30,1059,7
scene_08_30_000136,scene_08,30,2014,17
scene_08_30_000137,scene_08,30,2363,16
scene_08_30_000138,scene_08,30,2640,17
scene_08_30_000139,scene_08,30,2689,16
scene_08_30_000140,scene_08,30,3244,21
scene_08_30_000141,scene_08,30,3426,23
scene_08_30_000142,scene_08,30,3471,22
scene_08_30_000143,scene_08,30,3793,25
scene_08_30_000144,scene_08,30,4386,29
scene_08_30_000145,scene_08,30,4785,34
scene_08_30_000146,scene_08,30,4378,26
scene_08_30_000147,scene_08,30,3195,17
scene_08_30_000148,scene_08,30,2837,13
scene_08_30_000149,scene_08,30,2366,13
scene_08_30_000150,scene_08,30,2170,11
scene_08_30_000151,scene_08,30,1813,7
scene_08_30_000152,scene_08,30,2937,23
scene_08_30_000153,scene_08,30,2923,18
scene_08_30_000154,scene_08,30,3989,22
scene_08_30_000155,scene_08,30,4003,22
scene_08_30_000156,scene_08,30,4054,29
scene_08_30_000157,scene_08,30,3854,25
scene_08_30_000158,scene_08,30,3054,21
scene_08_30_000159,scene_08,30,3078,20
scene_08_30_000160,scene_08,30,2933,21
scene_08_30_000161,scene_08,30,2461,19
scene_08_30_000162,scene_08,30,2337,16
scene_08_30_000163,scene_08,30,1890,12
scene_08_30_000164,scene_08,30,941,6
scene_08_30_000166,scene_08,30,1089,11
scene_08_30_000167,scene_08,30,1284,11
scene_08_30_000168,scene_08,30,1637,15
scene_08_30_000169,scene_08,30,2078,16
scene_08_30_000170,scene_08,30,2289,22
scene_08_30_000171,scene_08,30,2429,19
scene_08_30_000172,scene_08,30,2440,18
scene_08_30_000173,scene_08,30,2948,19
scene_08_30_000174,scene_08,30,3063,22
scene_08_30_000175,scene_08,30,2978,19
scene_08_30_000176,scene_08,30,2416,16
scene_08_30_000177,scene_08,30,2055,15
scene_08_30_000178,scene_08,30,2042,14
scene_08_30_000179,scene_08,30,1761,16
scene_08_30_000180,scene_08,30,1794,13
scene_08_30_000181,scene_08,30,1332,13
scene_08_30_000182,scene_08,30,1269,11
scene_08_30_000183,scene_08,30,1017,8
scene_08_30_000185,scene_08,30,1504,13
scene_08_30_000186,scene_08,30,1719,16
scene_08_30_000187,scene_08,30,1957,19
scene_08_30_000188,scene_08,30,2056,15
scene_08_30_000189,scene_08,30,2036,16
scene_08_30_000190,scene_08,30,2217,17
scene_08_30_000191,scene_08,30,2606,18
scene_08_30_000192,scene_08,30,3034,22
scene_08_30_000193,scene_08,30,3196,17
scene_08_30_000194,scene_08,30,2628,16
scene_08_30_000195,scene_08,30,2304,11
scene_08_30_000196,scene_08,30,3037,21
scene_08_30_000197,scene_08,30,3992,22
scene_08_30_000198,scene_08,30,4161,24
scene_08_30_000199,scene_08,30,4108,22
scene_08_30_000200,scene_08,30,3967,21
scene_08_30_000201,scene_08,30,3334,19
scene_08_30_000202,scene_08,30,3031,16
scene_08_30_000203,scene_08,30,2735,17
scene_08_30_000204,scene_08,30,3044,17
scene_08_30_000205,scene_08,30,3450,19
scene_08_30_000206,scene_08,30,4599,20
scene_08_30_000207,scene_08,30,3946,17
scene_08_30_000208,scene_08,30,3785,14
scene_08_30_000209,scene_08,30,3021,15
scene_08_30_000210,scene_08,30,2561,11
scene_08_30_000211,scene_08,30,2471,10
scene_08_30_000212,scene_08,30,2474,9
scene_08_30_000213,scene_08,30,5129,15
scene_08_30_000214,scene_08,30,3856,17
scene_08_30_000215,scene_08,30,4115,18
scene_08_30_000216,scene_08,30,5015,28
scene_08_30_000217,scene_08,30,5408,25
scene_08_30_000218,scene_08,30,4204,25
scene_08_30_000219,scene_08,30,4391,21
scene_08_30_000220,scene_08,30,4065,21
scene_08_30_000221,scene_08,30,4527,26
scene_08_30_000222,scene_08,30,4938,25
scene_08_30_000223,scene_08,30,5114,31
scene_08_30_000224,scene_08,30,5127,29
scene_08_30_000225,scene_08,30,4652,28
scene_08_30_000226,scene_08,30,3753,23
scene_08_30_000227,scene_08,30,3240,20
scene_08_30_000228,scene_08,30,3109,23
scene_08_30_000229,scene_08,30,2773,21
scene_08_30_000230,scene_08,30,2588,17
scene_08_30_000231,scene_08,30,2102,19
scene_08_30_000232,scene_08,30,3237,20
scene_08_30_000233,scene_08,30,3774,28
scene_08_30_000234,scene_08,30,4617,30
scene_08_30_000235,scene_08,30,4968,28
scene_08_30_000236,scene_08,30,5305,29
scene_08_30_000237,scene_08,30,5151,29
scene_08_30_000238,scene_08,30,4923,26
scene_08_30_000239,scene_08,30,5252,25
scene_08_30_000240,scene_08,30,5006,23
scene_08_30_000241,scene_08,30,5622,19
scene_08_30_000242,scene_08,30,6639,26
scene_08_30_000243,scene_08,30,6982,24
scene_08_30_000244,scene_08,30,5940,19
scene_08_30_000245,scene_08,30,5450,16
scene_08_30_000246,scene_08,30,5015,15
scene_08_30_000247,scene_08,30,4419,12
scene_08_30_000248,scene_08,30,3451,11
scene_08_30_000249,scene_08,30,2907,11
scene_08_30_000250,scene_08,30,4553,14
scene_08_30_000251,scene_08,30,5139,14
scene_08_30_000252,scene_08,30,5365,19
scene_08_30_000253,scene_08,30,5811,21
scene_08_30_000254,scene_08,30,6574,23
scene_08_30_000255,scene_08,30,7101,25
scene_08_30_000256,scene_08,30,5850,23
scene_08_30_000257,scene_08,30,5747,21
scene_08_30_000258,scene_08,30,5030,21
scene_08_30_000259,scene_08,30,5321,24
scene_08_30_000260,scene_08,30,5057,26
scene_08_30_000261,scene_08,30,5084,26
scene_08_30_000262,scene_08,30,5171,28
scene_08_30_000263,scene_08,30,4689,31
scene_08_30_000264,scene_08,30,3768,24
scene_08_30_000265,scene_08,30,3252,21
scene_08_30_000266,scene_08,30,3088,21
scene_08_30_000267,scene_08,30,2796,20
scene_08_30_000268,scene_08,30,1931,13
scene_08_30_000269,scene_08,30,981,8
scene_08_30_000270,scene_08,30,1323,11
scene_08_30_000271,scene_08,30,2576,19
scene_08_30_000272,scene_08,30,2656,16
scene_08_30_000273,scene_08,30,2676,18
scene_08_30_000274,scene_08,30,3083,19
scene_08_30_000275,scene_08,30,3517,24
scene_08_30_000276,scene_08,30,3924,26
scene_08_30_000277,scene_08,30,4028,26
scene_08_30_000278,scene_08,30,3909,23
scene_08_30_000279,scene_08,30,3753,20
scene_08_30_000280,scene_08,30,4383,21
scene_08_30_000281,scene_08,30,4662,25
scene_08_30_000282,scene_08,30,5216,24
scene_08_30_000283,scene_08,30,6344,26
scene_08_30_000284,scene_08,30,6504,23
scene_08_30_000285,scene_08,30,5826,20
scene_08_30_000286,scene_08,30,5320,18
scene_08_30_000287,scene_08,30,4922,19
scene_08_30_000288,scene_08,30,4350,14
scene_08_30_000289,scene_08,30,3339,11
scene_08_30_000290,scene_08,30,2670,10
scene_08_30_000291,scene_08,30,3490,10
scene_08_30_000292,scene_08,30,4102,14
scene_08_30_000293,scene_08,30,4224,16
scene_08_30_000294,scene_08,30,4366,19
scene_08_30_000295,scene_08,30,4611,19
scene_08_30_000296,scene_08,30,5088,22
scene_08_30_000297,scene_08,30,4760,23
scene_08_30_000298,scene_08,30,4162,21
scene_08_30_000299,scene_08,30,3435,18
scene_08_30_000300,scene_08,30,3620,17
scene_08_30_000301,scene_08,30,3043,18
scene_08_30_000302,scene_08,30,2770,19
scene_08_30_000303,scene_08,30,3199,22
scene_08_30_000304,scene_08,30,3104,19
scene_08_30_000305,scene_08,30,2592,18
scene_08_30_000306,scene_08,30,2175,16
scene_08_30_000307,scene_08,30,2035,14
scene_08_30_000308,scene_08,30,1810,15
scene_08_30_000309,scene_08,30,1286,11
scene_08_30_000310,scene_08,30,1000,10
scene_08_30_000313,scene_08,30,837,9
scene_08_30_000314,scene_08,30,1662,16
scene_08_30_000315,scene_08,30,1937,15
scene_08_30_000316,scene_08,30,1907,15
scene_08_30_000317,scene_08,30,2157,20
scene_08_30_000318,scene_08,30,2630,18
scene_08_30_000319,scene_08,30,3108,20
scene_08_30_000320,scene_08,30,3180,19
scene_08_30_000321,scene_08,30,2737,19
scene_08_30_000322,scene_08,30,2802,17
scene_08_30_000323,scene_08,30,3409,16
scene_08_30_000324,scene_08,30,3675,13
scene_08_30_000325,scene_08,30,4475,15
scene_08_30_000326,scene_08,30,5195,18
scene_08_30_000327,scene_08,30,4983,16
scene_08_30_000328,scene_08,30,4553,12
scene_08_30_000329,scene_08,30,4149,11
scene_08_30_000330,scene_08,30,4170,11
scene_08_30_000331,scene_08,30,3782,9
scene_08_30_000332,scene_08,30,2958,9
scene_08_30_000333,scene_08,30,2443,8
scene_08_30_000334,scene_08,30,3831,8
scene_08_30_000335,scene_08,30,3860,9
scene_08_30_000336,scene_08,30,4147,9
scene_08_30_000337,scene_08,30,4496,11
scene_08_30_000338,scene_08,30,4758,16
scene_08_30_000339,scene_08,30,4451,15
scene_08_30_000340,scene_08,30,4268,13
scene_08_30_000341,scene_08,30,3954,14
scene_08_30_000342,scene_08,30,3147,14
scene_08_30_000343,scene_08,30,2401,16
scene_08_30_000344,scene_08,30,2249,15
scene_08_30_000345,scene_08,30,2537,19
scene_08_30_000346,scene_08,30,2289,18
scene_08_30_000347,scene_08,30,1827,14
scene_08_30_000348,scene_08,30,1338,12
scene_08_30_000349,scene_08,30,1270,10
scene_08_30_000351,scene_08,30,1936,15
scene_08_30_000352,scene_08,30,2043,13
scene_08_30_000353,scene_08,30,2460,14
scene_08_30_000354,scene_08,30,2859,15
scene_08_30_000355,scene_08,30,2825,13
scene_08_30_000356,scene_08,30,3441,15
scene_08_30_000357,scene_08,30,3917,14
scene_08_30_000358,scene_08,30,4144,14
scene_08_30_000359,scene_08,30,4255,14
scene_08_30_000360,scene_08,30,3960,8
scene_08_30_000361,scene_08,30,3582,6
scene_08_30_000362,scene_08,30,3214,5
scene_08_30_000363,scene_08,30,3190,6
scene_08_30_000364,scene_08,30,2706,5
scene_08_30_000365,scene_08,30,1794,6
scene_08_30_000366,scene_08,30,3220,6
scene_08_30_000367,scene_08,30,3091,6
scene_08_30_000368,scene_08,30,3088,5
scene_08_30_000369,scene_08,30,3275,5
scene_08_30_000370,scene_08,30,3412,5
scene_08_30_000371,scene_08,30,3758,6
scene_08_30_000372,scene_08,30,3711,6
scene_08_30_000373,scene_08,30,2959,9
scene_08_30_000374,scene_08,30,1999,9
scene_08_30_000375,scene_08,30,2323,7
scene_08_30_000376,scene_08,30,2653,5
scene_08_30_000377,scene_08,30,2631,4
scene_08_30_000378,scene_08,30,2296,4
scene_08_30_000379,scene_08,30,1937,4
scene_08_30_000380,scene_08,30,1803,4
scene_08_30_000381,scene_08,30,1631,5
scene_08_30_000382,scene_08,30,1394,4
scene_08_40_000000,scene_08,40,3004,11
scene_08_40_000001,scene_08,40,2630,14
scene_08_40_000002,scene_08,40,3861,17
scene_08_40_000003,scene_08,40,3796,17
scene_08_40_000004,scene_08,40,3906,17
scene_08_40_000005,scene_08,40,5744,19
scene_08_40_000006,scene_08,40,5240,16
scene_08_40_000007,scene_08,40,4240,16
scene_08_40_000008,scene_08,40,3809,10
scene_08_40_000009,scene_08,40,3493,10
scene_08_40_000010,scene_08,40,3045,7
scene_08_40_000011,scene_08,40,2481,5
scene_08_40_000012,scene_08,40,2752,5
scene_08_40_000013,scene_08,40,2554,3
scene_08_40_000016,scene_08,40,1028,2
scene_08_40_000017,scene_08,40,1231,2
scene_08_40_000018,scene_08,40,1251,3
scene_08_40_000019,scene_08,40,1647,3
scene_08_40_000022,scene_08,40,2307,4
scene_08_40_000023,scene_08,40,2982,4
scene_08_40_000024,scene_08,40,3268,9
scene_08_40_000025,scene_08,40,3491,14
scene_08_40_000026,scene_08,40,4100,13
scene_08_40_000027,scene_08,40,4352,14
scene_08_40_000028,scene_08,40,4709,18
scene_08_40_000029,scene_08,40,5384,22
scene_08_40_000030,scene_08,40,6660,24
scene_08_40_000031,scene_08,40,4873,26
scene_08_40_000032,scene_08,40,4732,23
scene_08_40_000033,scene_08,40,3747,18
scene_08_40_000034,scene_08,40,3111,13
scene_08_40_000035,scene_08,40,4212,16
scene_08_40_000036,scene_08,40,5048,23
scene_08_40_000037,scene_08,40,5098,32
scene_08_40_000038,scene_08,40,6986,25
scene_08_40_000039,scene_08,40,6150,24
scene_08_40_000040,scene_08,40,5150,20
scene_08_40_000041,scene_08,40,4797,16
scene_08_40_000042,scene_08,40,4596,14
scene_08_40_000043,scene_08,40,4000,12
scene_08_40_000044,scene_08,40,3459,12
scene_08_40_000045,scene_08,40,3294,10
scene_08_40_000046,scene_08,40,2494,5
scene_08_40_000049,scene_08,40,1129,2
scene_08_40_000050,scene_08,40,1228,2
scene_08_40_000051,scene_08,40,1189,5
scene_08_40_000052,scene_08,40,1328,4
scene_08_40_000053,scene_08,40,1897,4
scene_08_40_000054,scene_08,40,3452,8
scene_08_40_000055,scene_08,40,3883,15
scene_08_40_000056,scene_08,40,4283,16
scene_08_40_000057,scene_08,40,4946,19
scene_08_40_000058,scene_08,40,5271,20
scene_08_40_000059,scene_08,40,5555,20
scene_08_40_000060,scene_08,40,6192,23
scene_08_40_000061,scene_08,40,7543,29
scene_08_40_000062,scene_08,40,6776,31
scene_08_40_000063,scene_08,40,5896,25
scene_08_40_000064,scene_08,40,4833,25
scene_08_40_000065,scene_08,40,4124,17
scene_08_40_000066,scene_08,40,3493,17
scene_08_40_000067,scene_08,40,4047,24
scene_08_40_000068,scene_08,40,4841,33
scene_08_40_000069,scene_08,40,5287,30
scene_08_40_000070,scene_08,40,6772,43
scene_08_40_000071,scene_08,40,6883,33
scene_08_40_000072,scene_08,40,5539,27
scene_08_40_000073,scene_08,40,5407,25
scene_08_40_000074,scene_08,40,5174,21
scene_08_40_000075,scene_08,40,4487,19
scene_08_40_000076,scene_08,40,4185,17
scene_08_40_000077,scene_08,40,3891,17
scene_08_40_000078,scene_08,40,3399,10
scene_08_40_000081,scene_08,40,1045,2
scene_08_40_000082,scene_08,40,1874,10
scene_08_40_000083,scene_08,40,1408,10
scene_08_40_000084,scene_08,40,3177,9
scene_08_40_000085,scene_08,40,4369,19
scene_08_40_000086,scene_08,40,4034,20
scene_08_40_000087,scene_08,40,4204,22
scene_08_40_000088,scene_08,40,4872,26
scene_08_40_000089,scene_08,40,5068,27
scene_08_40_000090,scene_08,40,5132,29
scene_08_40_000091,scene_08,40,6497,31
scene_08_40_000092,scene_08,40,5962,36
scene_08_40_000093,scene_08,40,5409,27
scene_08_40_000094,scene_08,40,4131,25
scene_08_40_000095,scene_08,40,3695,21
scene_08_40_000096,scene_08,40,3382,16
scene_08_40_000097,scene_08,40,2915,11
scene_08_40_000098,scene_08,40,2569,14
scene_08_40_000099,scene_08,40,3712,18
scene_08_40_000100,scene_08,40,4118,31
scene_08_40_000101,scene_08,40,5301,26
scene_08_40_000102,scene_08,40,5696,32
scene_08_40_000103,scene_08,40,4386,31
scene_08_40_000104,scene_08,40,4249,23
scene_08_40_000105,scene_08,40,3800,22
scene_08_40_000106,scene_08,40,3469,19
scene_08_40_000107,scene_08,40,3054,15
scene_08_40_000108,scene_08,40,1868,8
scene_08_40_000112,scene_08,40,1920,14
scene_08_40_000113,scene_08,40,2207,14
scene_08_40_000114,scene_08,40,2531,16
scene_08_40_000115,scene_08,40,2707,17
scene_08_40_000116,scene_08,40,3246,22
scene_08_40_000117,scene_08,40,3422,26
scene_08_40_000118,scene_08,40,3428,21
scene_08_40_000119,scene_08,40,4060,25
scene_08_40_000120,scene_08,40,4517,30
scene_08_40_000121,scene_08,40,4691,25
scene_08_40_000122,scene_08,40,3568,25
scene_08_40_000123,scene_08,40,3027,19
scene_08_40_000124,scene_08,40,2859,14
scene_08_40_000125,scene_08,40,2347,10
scene_08_40_000126,scene_08,40,2575,18
scene_08_40_000127,scene_08,40,2724,16
scene_08_40_000128,scene_08,40,3793,21
scene_08_40_000129,scene_08,40,3999,23
scene_08_40_000130,scene_08,40,4190,32
scene_08_40_000131,scene_08,40,3951,25
scene_08_40_000132,scene_08,40,3124,22
scene_08_40_000133,scene_08,40,3095,20
scene_08_40_000134,scene_08,40,2987,20
scene_08_40_000135,scene_08,40,2473,20
scene_08_40_000136,scene_08,40,2320,18
scene_08_40_000137,scene_08,40,1680,16
scene_08_40_000138,scene_08,40,983,6
scene_08_40_000140,scene_08,40,1688,14
scene_08_40_000141,scene_08,40,2130,16
scene_08_40_000142,scene_08,40,2342,16
scene_08_40_000143,scene_08,40,2472,17
scene_08_40_000144,scene_08,40,2397,18
scene_08_40_000145,scene_08,40,2979,20
scene_08_40_000146,scene_08,40,3196,24
scene_08_40_000147,scene_08,40,2922,19
scene_08_40_000148,scene_08,40,2073,14
scene_08_40_000149,scene_08,40,2045,15
scene_08_40_000150,scene_08,40,1956,16
scene_08_40_000151,scene_08,40,1444,15
scene_08_40_000152,scene_08,40,1552,13
scene_08_40_000153,scene_08,40,1309,10
scene_08_40_000154,scene_08,40,1027,10
scene_08_40_000156,scene_08,40,1404,12
scene_08_40_000157,scene_08,40,1494,16
scene_08_40_000158,scene_08,40,1901,16
scene_08_40_000159,scene_08,40,2039,14
scene_08_40_000160,scene_08,40,2022,16
scene_08_40_000161,scene_08,40,2162,21
scene_08_40_000162,scene_08,40,2724,17
scene_08_40_000163,scene_08,40,3000,23
scene_08_40_000164,scene_08,40,2846,17
scene_08_40_000165,scene_08,40,2121,13
scene_08_40_000166,scene_08,40,2992,20
scene_08_40_000167,scene_08,40,3609,25
scene_08_40_000168,scene_08,40,4052,27
scene_08_40_000169,scene_08,40,4210,26
scene_08_40_000170,scene_08,40,4127,23
scene_08_40_000171,scene_08,40,3694,17
scene_08_40_000172,scene_08,40,3306,16
scene_08_40_000173,scene_08,40,3020,21
scene_08_40_000174,scene_08,40,3114,15
scene_08_40_000175,scene_08,40,3138,14
scene_08_40_000176,scene_08,40,4241,14
scene_08_40_000177,scene_08,40,5054,16
scene_08_40_000178,scene_08,40,5370,15
scene_08_40_000179,scene_08,40,5813,18
scene_08_40_000180,scene_08,40,6783,22
scene_08_40_000181,scene_08,40,6751,26
scene_08_40_000182,scene_08,40,5772,20
scene_08_40_000183,scene_08,40,5327,25
scene_08_40_000184,scene_08,40,5446,21
scene_08_40_000185,scene_08,40,4986,24
scene_08_40_000186,scene_08,40,5038,24
scene_08_40_000187,scene_08,40,5117,29
scene_08_40_000188,scene_08,40,4975,28
scene_08_40_000189,scene_08,40,3743,24
scene_08_40_000190,scene_08,40,3254,21
scene_08_40_000191,scene_08,40,3117,19
scene_08_40_000192,scene_08,40,2671,17
scene_08_40_000193,scene_08,40,2338,18
scene_08_40_000194,scene_08,40,2038,15
scene_08_40_000195,scene_08,40,3220,22
scene_08_40_000196,scene_08,40,3288,25
scene_08_40_000197,scene_08,40,3772,25
scene_08_40_000198,scene_08,40,4757,30
scene_08_40_000199,scene_08,40,5178,32
scene_08_40_000200,scene_08,40,5239,31
scene_08_40_000201,scene_08,40,4856,25
scene_08_40_000202,scene_08,40,4922,24
scene_08_40_000203,scene_08,40,5031,20
scene_08_40_000204,scene_08,40,5441,20
scene_08_40_000205,scene_08,40,6220,28
scene_08_40_000206,scene_08,40,7026,25
scene_08_40_000207,scene_08,40,5970,21
scene_08_40_000208,scene_08,40,5380,16
scene_08_40_000209,scene_08,40,4966,17
scene_08_40_000210,scene_08,40,4255,13
scene_08_40_000211,scene_08,40,3316,11
scene_08_40_000212,scene_08,40,3347,13
scene_08_40_000213,scene_08,40,4239,12
scene_08_40_000214,scene_08,40,4963,15
scene_08_40_000215,scene_08,40,5370,16
scene_08_40_000216,scene_08,40,5868,16
scene_08_40_000217,scene_08,40,6589,23
scene_08_40_000218,scene_08,40,6491,25
scene_08_40_000219,scene_08,40,5538,21
scene_08_40_000220,scene_08,40,4769,22
scene_08_40_000221,scene_08,40,4956,20
scene_08_40_000222,scene_08,40,4445,26
scene_08_40_000223,scene_08,40,4360,25
scene_08_40_000224,scene_08,40,4316,28
scene_08_40_000225,scene_08,40,4266,30
scene_08_40_000226,scene_08,40,3339,23
scene_08_40_000227,scene_08,40,2858,23
scene_08_40_000228,scene_08,40,2685,21
scene_08_40_000229,scene_08,40,2426,16
scene_08_40_000230,scene_08,40,1689,12
scene_08_40_000231,scene_08,40,905,8
scene_08_40_000232,scene_08,40,1006,9
scene_08_40_000233,scene_08,40,1839,16
scene_08_40_000234,scene_08,40,2050,19
scene_08_40_000235,scene_08,40,2024,19
scene_08_40_000236,scene_08,40,2541,21
scene_08_40_000237,scene_08,40,2909,25
scene_08_40_000238,scene_08,40,3385,26
scene_08_40_000239,scene_08,40,3257,24
scene_08_40_000240,scene_08,40,3270,22
scene_08_40_000241,scene_08,40,3866,19
scene_08_40_000242,scene_08,40,4089,16
scene_08_40_000243,scene_08,40,4892,20
scene_08_40_000244,scene_08,40,5562,23
scene_08_40_000245,scene_08,40,6173,20
scene_08_40_000246,scene_08,40,5404,18
scene_08_40_000247,scene_08,40,5075,16
scene_08_40_000248,scene_08,40,4678,16
scene_08_40_000249,scene_08,40,3939,14
scene_08_40_000250,scene_08,40,2965,11
scene_08_40_000251,scene_08,40,4004,11
scene_08_40_000252,scene_08,40,4307,13
scene_08_40_000253,scene_08,40,4163,12
scene_08_40_000254,scene_08,40,4547,15
scene_08_40_000255,scene_08,40,4960,18
scene_08_40_000256,scene_08,40,5089,18
scene_08_40_000257,scene_08,40,4590,15
scene_08_40_000258,scene_08,40,4070,14
scene_08_40_000259,scene_08,40,3767,14
scene_08_40_000260,scene_08,40,2934,15
scene_08_40_000261,scene_08,40,2794,17
scene_08_40_000262,scene_08,40,3172,21
scene_08_40_000263,scene_08,40,2956,21
scene_08_40_000264,scene_08,40,2510,18
scene_08_40_000265,scene_08,40,2008,14
scene_08_40_000266,scene_08,40,1924,15
scene_08_40_000267,scene_08,40,1163,10
scene_08_40_000269,scene_08,40,1337,13
scene_08_40_000270,scene_08,40,1336,11
scene_08_40_000271,scene_08,40,1766,14
scene_08_40_000272,scene_08,40,1932,16
scene_08_40_000273,scene_08,40,2041,17
scene_08_40_000274,scene_08,40,2376,19
scene_08_40_000275,scene_08,40,2731,22
scene_08_40_000276,scene_08,40,2549,19
scene_08_40_000277,scene_08,40,2563,17
scene_08_40_000278,scene_08,40,3309,18
scene_08_40_000279,scene_08,40,3811,15
scene_08_40_000280,scene_08,40,4375,13
