sample_uid,split,scene_id,height_category,gt_vehicle_instances,gt_vehicle_voxels,image_subset_path,gt_instance_path
scene_04_40_000004,train,scene_04,40,3,851,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_04_40_000004.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_04_40_000004.npz
scene_04_50_000003,train,scene_04,50,3,848,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_04_50_000003.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_04_50_000003.npz
scene_05_30_000008,train,scene_05,30,1,5,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_05_30_000008.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_05_30_000008.npz
scene_05_40_000010,train,scene_05,40,1,2,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_05_40_000010.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_05_40_000010.npz
scene_05_50_000006,train,scene_05,50,1,5,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/train/scene_05_50_000006.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/train/scene_05_50_000006.npz
scene_06_30_000031,val,scene_06,30,8,924,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/val/scene_06_30_000031.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/val/scene_06_30_000031.npz
scene_06_40_000035,val,scene_06,40,10,2842,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/val/scene_06_40_000035.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/val/scene_06_40_000035.npz
scene_06_50_000005,val,scene_06,50,10,1321,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/val/scene_06_50_000005.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/val/scene_06_50_000005.npz
scene_07_30_000013,val,scene_07,30,19,2048,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/val/scene_07_30_000013.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/val/scene_07_30_000013.npz
scene_07_40_000037,val,scene_07,40,19,5440,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/val/scene_07_40_000037.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/val/scene_07_40_000037.npz
scene_07_50_000010,val,scene_07,50,18,2968,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/val/scene_07_50_000010.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/val/scene_07_50_000010.npz
scene_08_30_000011,test,scene_08,30,17,4889,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/test/scene_08_30_000011.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/test/scene_08_30_000011.npz
scene_08_40_000006,test,scene_08,40,16,5240,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/test/scene_08_40_000006.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/test/scene_08_40_000006.npz
scene_08_50_000005,test,scene_08,50,17,4939,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/test/scene_08_50_000005.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/test/scene_08_50_000005.npz
scene_09_30_000015,test,scene_09,30,8,235,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/test/scene_09_30_000015.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/test/scene_09_30_000015.npz
scene_09_40_000010,test,scene_09,40,7,296,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/test/scene_09_40_000010.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/test/scene_09_40_000010.npz
scene_09_50_000003,test,scene_09,50,7,216,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/images/test/scene_09_50_000003.png,/datatank/giridhar.vb/repos/datasets/OccuFly_Dataset/vehicle_localization/instances_gt/test/scene_09_50_000003.npz
